country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Serbia,5.123,0.74836,0.20107,0.02617,0.19231
Portugal,5.102,0.87519,0.51469,0.01078,0.13719
Latvia,5.098,0.72437,0.29671,0.06332,0.18226
Philippines,5.073,0.58114,0.62545,0.12279,0.24991
Somaliland region,5.057,0.43873,0.46582,0.39928,0.50318
Morocco,5.013,0.60954,0.41691,0.08546,0.07172
Macedonia,5.007,0.73545,0.33457,0.05327,0.22359
Mozambique,4.971,0.09131,0.34037,0.15603,0.22269
Albania,4.959,0.81325,0.35733,0.06413,0.14272
Bosnia and Herzegovina,4.949,0.79081,0.09245,0.00227,0.24808
Lesotho,4.898,0.07612,0.31767,0.12504,0.16388
Dominican Republic,4.885,0.66825,0.57672,0.14234,0.21684
Laos,4.876,0.54909,0.59591,0.24249,0.42192
Mongolia,4.874,0.60268,0.43626,0.02666,0.3323
Swaziland,4.867,0.07566,0.30658,0.0306,0.18259
Greece,4.857,0.88213,0.07699,0.01397,0
Lebanon,4.839,0.83947,0.33916,0.04582,0.21854
Hungary,4.8,0.75905,0.32112,0.02758,0.128
Honduras,4.788,0.6951,0.40148,0.06825,0.23027
Tajikistan,4.786,0.57379,0.47216,0.15072,0.22974
Tunisia,4.739,0.73793,0.26268,0.06358,0.06431
Palestinian Territories,4.715,0.66015,0.24499,0.12905,0.11251
Bangladesh,4.694,0.60164,0.4082,0.12569,0.21222
Iran,4.686,0.69805,0.30033,0.05863,0.38086
Ukraine,4.681,0.6739,0.25123,0.02961,0.15275
Iraq,4.677,0.60237,0,0.13788,0.17922
South Africa,4.642,0.27688,0.33207,0.08884,0.11973
Ghana,4.633,0.40132,0.42342,0.04355,0.23087
Zimbabwe,4.61,0.33475,0.25861,0.08079,0.18987
Liberia,4.571,0.34201,0.28531,0.06232,0.24362
India,4.565,0.51529,0.39786,0.08492,0.26475
Sudan,4.55,0.36878,0.10081,0.1466,0.19062
Haiti,4.518,0.38847,0.24425,0.17175,0.46187
Congo (Kinshasa),4.517,0.09806,0.22605,0.07625,0.24834
Nepal,4.514,0.56874,0.38282,0.05907,0.32296
Ethiopia,4.512,0.44055,0.4345,0.15048,0.24325
Sierra Leone,4.507,0,0.4084,0.08786,0.21488
Mauritania,4.436,0.35874,0.24232,0.17461,0.219
Kenya,4.419,0.41435,0.42215,0.05839,0.37542
Djibouti,4.369,0.36291,0.46074,0.28105,0.18093
Armenia,4.35,0.7299,0.19847,0.039,0.07855
Botswana,4.332,0.04776,0.49495,0.12474,0.10461
Myanmar,4.307,0.48246,0.44017,0.19034,0.79588
Georgia,4.297,0.72926,0.40577,0.38331,0.05547
Malawi,4.292,0.22562,0.43054,0.06977,0.33128
Sri Lanka,4.271,0.70806,0.53726,0.09179,0.40828
Cameroon,4.252,0.23402,0.49309,0.05786,0.20618
Bulgaria,4.218,0.76649,0.30587,0.00872,0.11921
Egypt,4.194,0.61712,0.17288,0.06324,0.11291
Yemen,4.077,0.40064,0.35571,0.07854,0.09131
Angola,4.033,0.16683,0.10384,0.07122,0.12344
Mali,3.995,0.20583,0.38857,0.12352,0.18798
Congo (Brazzaville),3.989,0.31051,0.41466,0.11686,0.12388
Comoros,3.956,0.36315,0.22917,0.199,0.17441
Uganda,3.931,0.33861,0.45727,0.07267,0.29066
Senegal,3.904,0.4354,0.36772,0.10713,0.20843
Gabon,3.896,0.43372,0.31914,0.11091,0.06822
Niger,3.845,0.29707,0.47692,0.15639,0.19387
Cambodia,3.819,0.61114,0.66246,0.07247,0.40359
Tanzania,3.781,0.38215,0.32878,0.05747,0.34377
Madagascar,3.681,0.46721,0.19184,0.08124,0.21333
Central African Republic,3.678,0.06699,0.48879,0.08289,0.23835
Chad,3.667,0.1501,0.23501,0.05269,0.18386
Guinea,3.656,0.24009,0.37725,0.12139,0.28657
Ivory Coast,3.655,0.15185,0.46866,0.17922,0.20165
Burkina Faso,3.587,0.27125,0.39493,0.12832,0.21747
Afghanistan,3.575,0.30335,0.23414,0.09719,0.3651
Rwanda,3.465,0.42864,0.59201,0.55191,0.22628
Benin,3.34,0.3191,0.4845,0.0801,0.1826
Syria,3.006,0.72193,0.15684,0.18906,0.47179
Burundi,2.905,0.22396,0.1185,0.10062,0.19727
Togo,2.839,0.28443,0.36453,0.10731,0.16681
