country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Pakistan,5.472,0.424,0.334,0.113,0.216
Hong Kong,5.43,1.03,0.524,0.291,0.246
Portugal,5.41,0.884,0.562,0.017,0.055
Serbia,5.398,0.685,0.288,0.043,0.134
Greece,5.358,0.879,0.131,0.044,0
Lebanon,5.358,0.785,0.503,0.136,0.214
Montenegro,5.347,0.729,0.259,0.081,0.111
Croatia,5.321,0.737,0.38,0.039,0.12
Dominican Republic,5.302,0.614,0.578,0.106,0.12
Algeria,5.295,0.687,0.077,0.135,0.055
Morocco,5.254,0.669,0.46,0.074,0.026
China,5.246,0.799,0.597,0.103,0.029
Azerbaijan,5.201,0.603,0.43,0.176,0.031
Tajikistan,5.199,0.598,0.292,0.034,0.187
Macedonia,5.185,0.691,0.394,0.052,0.173
Jordan,5.161,0.645,0.468,0.134,0.13
Nigeria,5.155,0.048,0.462,0.032,0.201
Kyrgyzstan,5.131,0.594,0.54,0.035,0.281
Bosnia and Herzegovina,5.129,0.758,0.28,0,0.216
Mongolia,5.125,0.575,0.395,0.032,0.253
Vietnam,5.103,0.702,0.618,0.079,0.177
Indonesia,5.093,0.522,0.538,0.018,0.484
Bhutan,5.082,0.527,0.541,0.171,0.364
Somalia,4.982,0.115,0.674,0.282,0.238
Cameroon,4.975,0.182,0.454,0.043,0.183
Bulgaria,4.933,0.712,0.359,0.009,0.064
Nepal,4.88,0.539,0.526,0.078,0.302
Venezuela,4.806,0.657,0.133,0.052,0.056
Gabon,4.758,0.404,0.356,0.052,0.032
Palestinian Territories,4.743,0.602,0.266,0.076,0.086
South Africa,4.724,0.33,0.516,0.056,0.103
Iran,4.707,0.691,0.459,0.129,0.282
Ivory Coast,4.671,0.08,0.467,0.103,0.146
Ghana,4.657,0.337,0.499,0.029,0.212
Senegal,4.631,0.433,0.406,0.082,0.138
Laos,4.623,0.441,0.626,0.174,0.23
Tunisia,4.592,0.69,0.271,0.063,0.04
Albania,4.586,0.79,0.419,0.032,0.149
Sierra Leone,4.571,0,0.355,0.053,0.238
Congo (Brazzaville),4.559,0.343,0.514,0.077,0.091
Bangladesh,4.5,0.579,0.58,0.144,0.153
Sri Lanka,4.471,0.672,0.585,0.05,0.307
Iraq,4.456,0.536,0.304,0.095,0.148
Mali,4.447,0.152,0.367,0.056,0.139
Namibia,4.441,0.365,0.519,0.064,0.051
Cambodia,4.433,0.457,0.696,0.065,0.256
Burkina Faso,4.424,0.254,0.312,0.128,0.175
Egypt,4.419,0.553,0.312,0.107,0.092
Mozambique,4.417,0.173,0.531,0.158,0.206
Kenya,4.41,0.454,0.504,0.055,0.352
Zambia,4.377,0.295,0.503,0.082,0.221
Mauritania,4.356,0.292,0.129,0.093,0.134
Ethiopia,4.35,0.391,0.452,0.146,0.22
Georgia,4.34,0.643,0.375,0.215,0.038
Armenia,4.321,0.666,0.26,0.028,0.077
Myanmar,4.308,0.429,0.58,0.178,0.598
Chad,4.301,0.053,0.189,0.06,0.181
Congo (Kinshasa),4.245,0.204,0.312,0.052,0.197
India,4.19,0.485,0.539,0.093,0.172
Niger,4.166,0.221,0.39,0.099,0.175
Uganda,4.161,0.237,0.45,0.061,0.259
Benin,4.141,0.24,0.44,0.067,0.163
Sudan,4.139,0.312,0.016,0.082,0.134
Ukraine,4.103,0.609,0.163,0.011,0.187
Togo,3.999,0.253,0.434,0.101,0.158
Guinea,3.964,0.211,0.394,0.094,0.185
Lesotho,3.808,0.079,0.423,0.112,0.116
Angola,3.795,0.269,0,0.061,0.079
Madagascar,3.774,0.402,0.221,0.049,0.155
Zimbabwe,3.692,0.248,0.406,0.099,0.132
Afghanistan,3.632,0.255,0.085,0.036,0.191
Botswana,3.59,0.417,0.557,0.092,0.042
Malawi,3.587,0.306,0.531,0.08,0.21
Haiti,3.582,0.289,0.025,0.104,0.392
Liberia,3.495,0.267,0.419,0.03,0.206
Syria,3.462,0.539,0.088,0.144,0.376
Rwanda,3.408,0.4,0.636,0.444,0.2
Yemen,3.355,0.343,0.244,0.064,0.083
Tanzania,3.303,0.381,0.481,0.097,0.27
South Sudan,3.254,0.177,0.112,0.106,0.224
Central African Republic,3.083,0.01,0.305,0.038,0.218
Burundi,2.905,0.145,0.065,0.076,0.149
