country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Paraguay,5.743,0.777,0.514,0.08,0.184
Northern Cyprus,5.718,1.042,0.417,0.162,0.191
Peru,5.697,0.854,0.455,0.027,0.083
Portugal,5.693,0.999,0.508,0.025,0.047
Pakistan,5.653,0.535,0.313,0.098,0.22
Russia,5.648,0.726,0.334,0.031,0.082
Philippines,5.631,0.657,0.558,0.107,0.117
Serbia,5.603,0.854,0.282,0.039,0.137
Moldova,5.529,0.739,0.245,0,0.181
Libya,5.525,0.673,0.416,0.152,0.133
Montenegro,5.523,0.871,0.197,0.08,0.142
Tajikistan,5.467,0.718,0.389,0.144,0.23
Croatia,5.432,0.914,0.296,0.022,0.119
Hong Kong,5.43,1.122,0.44,0.287,0.258
Dominican Republic,5.425,0.779,0.497,0.101,0.113
Bosnia and Herzegovina,5.386,0.845,0.212,0.006,0.263
Turkey,5.373,0.808,0.195,0.106,0.083
Malaysia,5.339,0.828,0.508,0.024,0.26
Belarus,5.323,0.789,0.235,0.142,0.094
Greece,5.287,0.999,0.067,0.034,0
Mongolia,5.285,0.667,0.317,0.038,0.235
North Macedonia,5.274,0.838,0.345,0.034,0.185
Nigeria,5.265,0.245,0.426,0.041,0.215
Kyrgyzstan,5.261,0.723,0.508,0.023,0.3
Turkmenistan,5.247,0.657,0.394,0.028,0.244
Algeria,5.211,0.785,0.086,0.114,0.073
Morocco,5.208,0.782,0.418,0.076,0.036
Azerbaijan,5.208,0.769,0.351,0.182,0.035
Lebanon,5.197,0.815,0.216,0.027,0.166
Indonesia,5.192,0.66,0.491,0.028,0.498
China,5.191,0.893,0.521,0.1,0.058
Vietnam,5.175,0.851,0.543,0.073,0.147
Bhutan,5.082,0.604,0.457,0.167,0.37
Cameroon,5.044,0.331,0.381,0.037,0.187
Bulgaria,5.011,0.815,0.311,0.004,0.081
Ghana,4.996,0.486,0.381,0.04,0.245
Ivory Coast,4.944,0.232,0.352,0.09,0.154
Nepal,4.913,0.677,0.439,0.089,0.285
Jordan,4.906,0.815,0.383,0.13,0.11
Benin,4.883,0.397,0.349,0.082,0.175
Congo (Brazzaville),4.812,0.508,0.372,0.093,0.105
Gabon,4.799,0.571,0.295,0.055,0.043
Laos,4.796,0.551,0.547,0.164,0.266
South Africa,4.722,0.469,0.389,0.055,0.13
Albania,4.719,0.874,0.383,0.027,0.178
Venezuela,4.707,0.805,0.154,0.047,0.064
Cambodia,4.7,0.637,0.609,0.062,0.232
Palestinian Territories,4.696,0.672,0.225,0.066,0.103
Senegal,4.681,0.571,0.292,0.072,0.153
Somalia,4.668,0.268,0.559,0.27,0.243
Namibia,4.639,0.477,0.401,0.056,0.07
Niger,4.628,0.366,0.318,0.102,0.188
Burkina Faso,4.587,0.38,0.255,0.113,0.177
Armenia,4.559,0.815,0.283,0.064,0.095
Iran,4.548,0.785,0.305,0.125,0.27
Guinea,4.534,0.375,0.332,0.086,0.207
Georgia,4.519,0.752,0.346,0.164,0.043
Gambia,4.516,0.428,0.382,0.167,0.269
Kenya,4.509,0.581,0.431,0.053,0.372
Mauritania,4.49,0.489,0.066,0.088,0.106
Mozambique,4.466,0.39,0.494,0.138,0.197
Tunisia,4.461,0.815,0.167,0.055,0.059
Bangladesh,4.456,0.723,0.527,0.143,0.166
Iraq,4.437,0.574,0.241,0.089,0.148
Congo (Kinshasa),4.418,0.357,0.269,0.053,0.212
Mali,4.39,0.308,0.327,0.052,0.153
Sierra Leone,4.374,0.242,0.309,0.045,0.252
Sri Lanka,4.366,0.831,0.47,0.047,0.244
Myanmar,4.36,0.555,0.525,0.172,0.566
Chad,4.35,0.192,0.174,0.078,0.198
Ukraine,4.332,0.739,0.178,0.01,0.187
Ethiopia,4.286,0.532,0.344,0.1,0.209
Swaziland,4.212,0,0.313,0.135,0.074
Uganda,4.189,0.443,0.356,0.06,0.252
Egypt,4.166,0.644,0.241,0.067,0.076
Zambia,4.107,0.426,0.431,0.087,0.247
Togo,4.085,0.41,0.293,0.085,0.177
India,4.015,0.588,0.498,0.085,0.2
Liberia,3.975,0.443,0.37,0.033,0.233
Comoros,3.973,0.505,0.142,0.078,0.275
Madagascar,3.933,0.555,0.148,0.041,0.169
Lesotho,3.802,0.168,0.359,0.093,0.107
Burundi,3.775,0.38,0.22,0.18,0.176
Zimbabwe,3.663,0.433,0.361,0.089,0.151
Haiti,3.597,0.449,0.026,0.11,0.419
Botswana,3.488,0.538,0.455,0.1,0.025
Syria,3.462,0.44,0.013,0.141,0.331
Malawi,3.41,0.495,0.443,0.089,0.218
Yemen,3.38,0.463,0.143,0.077,0.108
Rwanda,3.334,0.614,0.555,0.411,0.217
Tanzania,3.231,0.499,0.417,0.147,0.276
Afghanistan,3.203,0.361,0,0.025,0.158
Central African Republic,3.083,0.105,0.225,0.035,0.235
South Sudan,2.853,0.295,0.01,0.091,0.202
