country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Sri Lanka,4.415,0.62007,0.50817,0.07964,0.46978
India,4.404,0.45091,0.40285,0.08722,0.25028
Myanmar,4.395,0.3988,0.42692,0.20243,0.81971
Egypt,4.362,0.52116,0.18847,0.10393,0.12706
Armenia,4.36,0.64083,0.14037,0.03616,0.07793
Kenya,4.356,0.30147,0.40576,0.06686,0.41328
Ukraine,4.324,0.58628,0.12859,0.01829,0.20363
Ghana,4.276,0.29681,0.40973,0.0326,0.21203
Congo (Kinshasa),4.272,0.188,0.15602,0.06075,0.25458
Georgia,4.252,0.64035,0.32461,0.3188,0.06786
Congo (Brazzaville),4.236,0.28212,0.37938,0.09753,0.12077
Senegal,4.219,0.40457,0.31056,0.11681,0.19103
Bulgaria,4.217,0.67806,0.21219,0.00615,0.12793
Mauritania,4.201,0.28639,0.1268,0.17955,0.22686
Zimbabwe,4.193,0.1595,0.25429,0.08582,0.18503
Malawi,4.156,0.29364,0.4143,0.07564,0.30968
Sudan,4.139,0.29759,0,0.10039,0.18077
Gabon,4.121,0.3494,0.28098,0.09314,0.06244
Mali,4.073,0.16347,0.27544,0.13647,0.21064
Haiti,4.028,0.27494,0.12072,0.14476,0.47958
Botswana,3.974,0.34752,0.44089,0.10769,0.12425
Comoros,3.956,0.29981,0.15412,0.18437,0.1827
Ivory Coast,3.916,0.04476,0.40663,0.1553,0.20338
Cambodia,3.907,0.42494,0.58852,0.08092,0.40339
Angola,3.866,0.04991,0.00589,0.08434,0.12071
Niger,3.856,0.26162,0.38041,0.17176,0.2097
South Sudan,3.832,0.15781,0.19662,0.13015,0.25899
Chad,3.763,0.03824,0.12807,0.04952,0.18667
Burkina Faso,3.739,0.21297,0.3337,0.12533,0.24353
Uganda,3.739,0.19625,0.43653,0.06442,0.27102
Yemen,3.724,0.31048,0.2287,0.05892,0.09821
Madagascar,3.695,0.37109,0.13684,0.07506,0.2204
Tanzania,3.666,0.357,0.3176,0.05099,0.31472
Liberia,3.622,0.23165,0.25748,0.04852,0.24063
Guinea,3.607,0.18829,0.30953,0.1192,0.29914
Rwanda,3.515,0.31865,0.5432,0.50521,0.23552
Benin,3.484,0.21028,0.39747,0.06681,0.2018
Afghanistan,3.36,0.17344,0.1643,0.07112,0.31268
Togo,3.303,0.24811,0.34678,0.11587,0.17517
Syria,3.069,0.62994,0.06912,0.17233,0.48397
Burundi,2.905,0.15747,0.0432,0.09419,0.2029
